;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de desemprego - Brasil;;;
Taxa de desemprego 16a e+ segundo Município;;;
Período: 2000;;;
Município;Taxa de desemprego 16a e+;;
Fonte: IBGE - Censos Demográficos;;;
Notas:;;;
;;;
1. Taxa de desemprego: Percentual da população de 16 anos e mais, economicamente ativa, desocupada.;;;
;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
250870 MAE D'AGUA;4,04;;
250880 MALTA;4,42;;
250890 MAMANGUAPE;14,62;;
250900 MANAIRA;5,24;;
250905 MARCACAO;10,1;;
250910 MARI;12,12;;
250915 MARIZOPOLIS;22,87;;
250920 MASSARANDUBA;12,92;;
250930 MATARACA;18,15;;
250933 MATINHAS;2,2;;
250937 MATO GROSSO;16,52;;
250939 MATUREIA;4,16;;
250940 MOGEIRO;8,32;;
250950 MONTADAS;7,54;;
250960 MONTE HOREBE;5,49;;
250970 MONTEIRO;13,02;;
250980 MULUNGU;9,72;;
250990 NATUBA;2,57;;
251000 NAZAREZINHO;5,53;;
251010 NOVA FLORESTA;11,03;;
251020 NOVA OLINDA;10,27;;
251030 NOVA PALMEIRA;3,63;;
251040 OLHO D'AGUA;7,23;;
251050 OLIVEDOS;12,27;;
251060 OURO VELHO;17,59;;
251065 PARARI;3,34;;
251070 PASSAGEM;14,87;;
251080 PATOS;15,84;;
251090 PAULISTA;4,3;;
251100 PEDRA BRANCA;5,86;;
251110 PEDRA LAVRADA;6,18;;
251120 PEDRAS DE FOGO;11,91;;
251130 PIANCO;9,28;;
251140 PICUI;6,94;;
251150 PILAR;10,84;;
251160 PILOES;4,52;;
251170 PILOEZINHOS;5,2;;
251180 PIRPIRITUBA;14,15;;
251190 PITIMBU;9,02;;
251200 POCINHOS;16,45;;
251203 POCO DANTAS;4,82;;
251207 POCO DE JOSE DE MOURA;1,92;;
251210 POMBAL;10,97;;
251220 PRATA;11,7;;
251230 PRINCESA ISABEL;12,75;;
251240 PUXINANA;13,78;;
251250 QUEIMADAS;11,83;;
251260 QUIXABA;19,13;;
251270 REMIGIO;10,82;;
251272 PEDRO REGIS;3,66;;
251274 RIACHAO;3,26;;
251275 RIACHAO DO BACAMARTE;24,89;;
251276 RIACHAO DO POCO;10,2;;
251278 RIACHO DE SANTO ANTONIO;12,81;;
251280 RIACHO DOS CAVALOS;4,38;;
251290 RIO TINTO;24,46;;
251300 SALGADINHO;5,75;;
251310 SALGADO DE SAO FELIX;4,45;;
251315 SANTA CECILIA;1,56;;
251320 SANTA CRUZ;9,93;;
251330 SANTA HELENA;4,87;;
251335 SANTA INES;7,11;;
251340 SANTA LUZIA;13,74;;
251350 SANTANA DE MANGUEIRA;10,9;;
251360 SANTANA DOS GARROTES;7,62;;
251365 JOCA CLAUDINO;5,79;;
251370 SANTA RITA;24,23;;
251380 SANTA TERESINHA;9,95;;
251385 SANTO ANDRE;1,47;;
251390 SAO BENTO;8,62;;
251392 SAO BENTINHO;5,76;;
251394 SAO DOMINGOS DO CARIRI;3,49;;
251396 SAO DOMINGOS;10,14;;
251398 SAO FRANCISCO;7,17;;
251400 SAO JOAO DO CARIRI;9,9;;
251410 SAO JOAO DO TIGRE;4,67;;
251420 SAO JOSE DA LAGOA TAPADA;2,08;;
251430 SAO JOSE DE CAIANA;0,49;;
251440 SAO JOSE DE ESPINHARAS;14,51;;
251445 SAO JOSE DOS RAMOS;7,18;;
251450 SAO JOSE DE PIRANHAS;7,74;;
251455 SAO JOSE DE PRINCESA;3,3;;
251460 SAO JOSE DO BONFIM;13,81;;
251465 SAO JOSE DO BREJO DO CRUZ;10,85;;
251470 SAO JOSE DO SABUGI;7,74;;
251480 SAO JOSE DOS CORDEIROS;4,42;;
251490 SAO MAMEDE;13,6;;
251500 SAO MIGUEL DE TAIPU;2,37;;
251510 SAO SEBASTIAO DE LAGOA DE ROCA;5,93;;
251520 SAO SEBASTIAO DO UMBUZEIRO;3,39;;
251530 SAPE;17,89;;
251540 SAO VICENTE DO SERIDO;5,35;;
251550 SERRA BRANCA;12,91;;
251560 SERRA DA RAIZ;5,17;;
251570 SERRA GRANDE;3,03;;
251580 SERRA REDONDA;8,85;;
251590 SERRARIA;11,72;;
251593 SERTAOZINHO;8,03;;
251597 SOBRADO;4,64;;
251600 SOLANEA;16;;
251610 SOLEDADE;11,33;;
251615 SOSSEGO;3,8;;
251620 SOUSA;14,6;;
251630 SUME;18,57;;
251640 TACIMA;8,92;;
251650 TAPEROA;15,25;;
251660 TAVARES;7,76;;
251670 TEIXEIRA;8,24;;
251675 TENORIO;15,38;;
251680 TRIUNFO;5,14;;
251690 UIRAUNA;10,17;;
251700 UMBUZEIRO;4,91;;
251710 VARZEA;6,97;;
251720 VIEIROPOLIS;5,07;;
260005 ABREU E LIMA;26,51;;
260010 AFOGADOS DA INGAZEIRA;13,29;;
260020 AFRANIO;5,14;;
260030 AGRESTINA;9,59;;
260040 AGUA PRETA;33,27;;
260050 AGUAS BELAS;14;;
260060 ALAGOINHA;11,22;;
260070 ALIANCA;23,19;;
260080 ALTINHO;9,3;;
260090 AMARAJI;15,54;;
260100 ANGELIM;9,07;;
260105 ARACOIABA;26,78;;
260110 ARARIPINA;9,72;;
260120 ARCOVERDE;16,96;;
260130 BARRA DE GUABIRABA;15,95;;
260140 BARREIROS;30,65;;
260150 BELEM DE MARIA;20,12;;
260160 BELEM DE SAO FRANCISCO;13,71;;
260170 BELO JARDIM;14,41;;
260180 BETANIA;6,21;;
260190 BEZERROS;17,57;;
260200 BODOCO;8,67;;
260210 BOM CONSELHO;8,12;;
260220 BOM JARDIM;7,97;;
260230 BONITO;14,69;;
260240 BREJAO;5,39;;
260250 BREJINHO;7,24;;
260260 BREJO DA MADRE DE DEUS;7,18;;
260270 BUENOS AIRES;18,27;;
260280 BUIQUE;9,23;;
260290 CABO DE SANTO AGOSTINHO;28,19;;
260300 CABROBO;12,46;;
260310 CACHOEIRINHA;8,87;;
260320 CAETES;3,14;;
260330 CALCADO;3,86;;
260340 CALUMBI;3,57;;
260345 CAMARAGIBE;22,09;;
260350 CAMOCIM DE SAO FELIX;17,88;;
260360 CAMUTANGA;19,31;;
260370 CANHOTINHO;9,5;;
260380 CAPOEIRAS;4,37;;
260390 CARNAIBA;7,53;;
260392 CARNAUBEIRA DA PENHA;11,2;;
260400 CARPINA;26,11;;
260410 CARUARU;11,77;;
260415 CASINHAS;6,36;;
260420 CATENDE;25,11;;
260430 CEDRO;8,5;;
260440 CHA DE ALEGRIA;20,6;;
260450 CHA GRANDE;13,08;;
260460 CONDADO;22,74;;
260470 CORRENTES;9,03;;
260480 CORTES;20,88;;
260490 CUMARU;19,52;;
260500 CUPIRA;10,89;;
260510 CUSTODIA;19,47;;
260515 DORMENTES;2,34;;
260520 ESCADA;26,71;;
260530 EXU;9,14;;
260540 FEIRA NOVA;10,4;;
260545 FERNANDO DE NORONHA;1,5;;
260550 FERREIROS;20,13;;
260560 FLORES;7,19;;
260570 FLORESTA;18,89;;
260580 FREI MIGUELINHO;6,29;;
260590 GAMELEIRA;22,99;;
260600 GARANHUNS;16,47;;
260610 GLORIA DO GOITA;10,33;;
260620 GOIANA;21,2;;
260630 GRANITO;14,16;;
260640 GRAVATA;17,77;;
260650 IATI;6,98;;
260660 IBIMIRIM;17,84;;
260670 IBIRAJUBA;13,57;;
260680 IGARASSU;29,36;;
260690 IGUARACY;9,04;;
260700 INAJA;6,57;;
260710 INGAZEIRA;5,45;;
260720 IPOJUCA;24,18;;
260730 IPUBI;14,36;;
260740 ITACURUBA;27,51;;
260750 ITAIBA;4,55;;
260760 ILHA DE ITAMARACA;19,51;;
260765 ITAMBE;19,02;;
260770 ITAPETIM;5,99;;
260775 ITAPISSUMA;19,17;;
260780 ITAQUITINGA;20,22;;
260790 JABOATAO DOS GUARARAPES;24,51;;
260795 JAQUEIRA;34,62;;
260800 JATAUBA;4,2;;
260805 JATOBA;24,31;;
260810 JOAO ALFREDO;7,91;;
260820 JOAQUIM NABUCO;16,02;;
260825 JUCATI;2,69;;
260830 JUPI;4,87;;
260840 JUREMA;4,29;;
260845 LAGOA DO CARRO;13,47;;
260850 LAGOA DE ITAENGA;14,07;;
260860 LAGOA DO OURO;5,78;;
260870 LAGOA DOS GATOS;6,97;;
260875 LAGOA GRANDE;11,47;;
260880 LAJEDO;10,51;;
260890 LIMOEIRO;17,37;;
260900 MACAPARANA;19,54;;
260910 MACHADOS;9,96;;
260915 MANARI;1,6;;
260920 MARAIAL;17,93;;
260930 MIRANDIBA;8,39;;
260940 MORENO;24,42;;
260950 NAZARE DA MATA;27,86;;
260960 OLINDA;23,58;;
260970 OROBO;7,33;;
260980 OROCO;7,93;;
260990 OURICURI;14,27;;
261000 PALMARES;23,62;;
261010 PALMEIRINA;7,52;;
261020 PANELAS;6;;
261030 PARANATAMA;1,72;;
261040 PARNAMIRIM;8,56;;
261050 PASSIRA;9,31;;
261060 PAUDALHO;25,6;;
261070 PAULISTA;24,02;;
261080 PEDRA;7,09;;
261090 PESQUEIRA;13,68;;
261100 PETROLANDIA;18,97;;
261110 PETROLINA;17,13;;
261120 POCAO;2,79;;
261130 POMBOS;10,05;;
261140 PRIMAVERA;20,08;;
261150 QUIPAPA;16,5;;
261153 QUIXABA;5,61;;
261160 RECIFE;21;;
261170 RIACHO DAS ALMAS;8,27;;
261180 RIBEIRAO;27,97;;
261190 RIO FORMOSO;25,58;;
261200 SAIRE;8,03;;
261210 SALGADINHO;5,96;;
261220 SALGUEIRO;19,32;;
261230 SALOA;3,96;;
261240 SANHARO;9,53;;
261245 SANTA CRUZ;16,2;;
261247 SANTA CRUZ DA BAIXA VERDE;6,33;;
261250 SANTA CRUZ DO CAPIBARIBE;4,37;;
261255 SANTA FILOMENA;6,47;;
261260 SANTA MARIA DA BOA VISTA;8,86;;
261270 SANTA MARIA DO CAMBUCA;4,79;;
261280 SANTA TEREZINHA;7,5;;
261290 SAO BENEDITO DO SUL;10,73;;
261300 SAO BENTO DO UNA;8,6;;
261310 SAO CAITANO;14,96;;
261320 SAO JOAO;5,98;;
261330 SAO JOAQUIM DO MONTE;13,21;;
261340 SAO JOSE DA COROA GRANDE;30,59;;
261350 SAO JOSE DO BELMONTE;12,87;;
261360 SAO JOSE DO EGITO;11,58;;
261370 SAO LOURENCO DA MATA;23,26;;
261380 SAO VICENTE FERRER;15,14;;
261390 SERRA TALHADA;12,19;;
261400 SERRITA;11,35;;
261410 SERTANIA;20,9;;
261420 SIRINHAEM;20,77;;
261430 MOREILANDIA;3,6;;
261440 SOLIDAO;5,87;;
261450 SURUBIM;12,68;;
261460 TABIRA;8,85;;
261470 TACAIMBO;5,87;;
261480 TACARATU;7,62;;
261485 TAMANDARE;27,91;;
261500 TAQUARITINGA DO NORTE;8,39;;
261510 TEREZINHA;13,32;;
261520 TERRA NOVA;6,76;;
261530 TIMBAUBA;19,38;;
261540 TORITAMA;2,11;;
261550 TRACUNHAEM;17,35;;
261560 TRINDADE;16,26;;
261570 TRIUNFO;8,84;;
261580 TUPANATINGA;6,4;;
261590 TUPARETAMA;15,99;;
261600 VENTUROSA;10,39;;
261610 VERDEJANTE;5,8;;
261618 VERTENTE DO LERIO;4,03;;
261620 VERTENTES;8,29;;
261630 VICENCIA;15,9;;
261640 VITORIA DE SANTO ANTAO;18,15;;
261650 XEXEU;21,27;;
270010 AGUA BRANCA;10,25;;
270020 ANADIA;16,47;;
270030 ARAPIRACA;13,46;;
270040 ATALAIA;21,38;;
270050 BARRA DE SANTO ANTONIO;14,48;;
270060 BARRA DE SAO MIGUEL;12,46;;
270070 BATALHA;12,76;;
270080 BELEM;7,12;;
270090 BELO MONTE;7,3;;
270100 BOCA DA MATA;20,44;;
270110 BRANQUINHA;10,05;;
270120 CACIMBINHAS;8,16;;
270130 CAJUEIRO;22,6;;
270135 CAMPESTRE;16,74;;
270140 CAMPO ALEGRE;20,72;;
270150 CAMPO GRANDE;1,38;;
270160 CANAPI;9,05;;
270170 CAPELA;23,97;;
270180 CARNEIROS;3,85;;
270190 CHA PRETA;11,55;;
270200 COITE DO NOIA;8,32;;
270210 COLONIA LEOPOLDINA;14,02;;
270220 COQUEIRO SECO;17,75;;
270230 CORURIPE;14,71;;
270235 CRAIBAS;3,06;;
270240 DELMIRO GOUVEIA;17,42;;
270250 DOIS RIACHOS;4,34;;
270255 ESTRELA DE ALAGOAS;4,96;;
270260 FEIRA GRANDE;2,2;;
270270 FELIZ DESERTO;10,97;;
270280 FLEXEIRAS;18,88;;
270290 GIRAU DO PONCIANO;10,16;;
270300 IBATEGUARA;19,4;;
270310 IGACI;4,62;;
270320 IGREJA NOVA;10,6;;
270330 INHAPI;8,25;;
270340 JACARE DOS HOMENS;4,54;;
270350 JACUIPE;19,14;;
270360 JAPARATINGA;16,28;;
270370 JARAMATAIA;14,63;;
270380 JOAQUIM GOMES;24,71;;
270390 JUNDIA;16,17;;
270400 JUNQUEIRO;13,88;;
270410 LAGOA DA CANOA;16,07;;
270420 LIMOEIRO DE ANADIA;9,95;;
270430 MACEIO;22,87;;
270440 MAJOR ISIDORO;10,76;;
270450 MARAGOGI;16,66;;
270460 MARAVILHA;8,41;;
270470 MARECHAL DEODORO;17,07;;
270480 MARIBONDO;15,77;;
270490 MAR VERMELHO;8,99;;
270500 MATA GRANDE;2,79;;
270510 MATRIZ DE CAMARAGIBE;19,45;;
270520 MESSIAS;34,12;;
270530 MINADOR DO NEGRAO;15,37;;
270540 MONTEIROPOLIS;7,96;;
270550 MURICI;18,45;;
270560 NOVO LINO;19,39;;
270570 OLHO D'AGUA DAS FLORES;13,62;;
270580 OLHO D'AGUA DO CASADO;11,73;;
270590 OLHO D'AGUA GRANDE;0,8;;
270600 OLIVENCA;12,45;;
270610 OURO BRANCO;9,32;;
270620 PALESTINA;4,98;;
270630 PALMEIRA DOS INDIOS;13,77;;
270640 PAO DE ACUCAR;8,81;;
270642 PARICONHA;4;;
270644 PARIPUEIRA;41,85;;
270650 PASSO DE CAMARAGIBE;11,17;;
270660 PAULO JACINTO;14,64;;
270670 PENEDO;19,33;;
270680 PIACABUCU;15,62;;
270690 PILAR;20,34;;
270700 PINDOBA;3,95;;
270710 PIRANHAS;13,04;;
270720 POCO DAS TRINCHEIRAS;1,74;;
270730 PORTO CALVO;22,65;;
270740 PORTO DE PEDRAS;18,45;;
270750 PORTO REAL DO COLEGIO;9,67;;
270760 QUEBRANGULO;11,22;;
270770 RIO LARGO;27,71;;
270780 ROTEIRO;15,78;;
270790 SANTA LUZIA DO NORTE;29,82;;
270800 SANTANA DO IPANEMA;12,4;;
270810 SANTANA DO MUNDAU;4,79;;
270820 SAO BRAS;10,4;;
270830 SAO JOSE DA LAJE;22,4;;
270840 SAO JOSE DA TAPERA;9,34;;
270850 SAO LUIS DO QUITUNDE;17,8;;
270860 SAO MIGUEL DOS CAMPOS;20,29;;
270870 SAO MIGUEL DOS MILAGRES;15,99;;
270880 SAO SEBASTIAO;8,89;;
270890 SATUBA;22,78;;
270895 SENADOR RUI PALMEIRA;4,52;;
270900 TANQUE D'ARCA;10,36;;
270910 TAQUARANA;18,63;;
270915 TEOTONIO VILELA;17,06;;
270920 TRAIPU;9,32;;
270930 UNIAO DOS PALMARES;16,07;;
270940 VICOSA;19,93;;
280010 AMPARO DE SAO FRANCISCO;7,45;;
280020 AQUIDABA;9,48;;
280030 ARACAJU;20,59;;
280040 ARAUA;7,22;;
280050 AREIA BRANCA;16,48;;
280060 BARRA DOS COQUEIROS;26,33;;
280067 BOQUIM;14,15;;
280070 BREJO GRANDE;10,4;;
280100 CAMPO DO BRITO;8,1;;
280110 CANHOBA;5,52;;
280120 CANINDE DE SAO FRANCISCO;15,29;;
280130 CAPELA;17,35;;
280140 CARIRA;8,88;;
280150 CARMOPOLIS;27,48;;
280160 CEDRO DE SAO JOAO;6,33;;
280170 CRISTINAPOLIS;18,47;;
280190 CUMBE;17,48;;
280200 DIVINA PASTORA;7,35;;
280210 ESTANCIA;21,52;;
280220 FEIRA NOVA;9,2;;
280230 FREI PAULO;10,49;;
280240 GARARU;5,57;;
280250 GENERAL MAYNARD;32,04;;
280260 GRACHO CARDOSO;8,74;;
280270 ILHA DAS FLORES;21,08;;
280280 INDIAROBA;7,65;;
280290 ITABAIANA;8,67;;
280300 ITABAIANINHA;7,66;;
280310 ITABI;9,26;;
280320 ITAPORANGA D'AJUDA;16,29;;
280330 JAPARATUBA;16,82;;
280340 JAPOATA;10,59;;
280350 LAGARTO;10,69;;
280360 LARANJEIRAS;26,27;;
280370 MACAMBIRA;9,07;;
280380 MALHADA DOS BOIS;9,87;;
280390 MALHADOR;5,35;;
280400 MARUIM;26,97;;
280410 MOITA BONITA;4,95;;
280420 MONTE ALEGRE DE SERGIPE;7,13;;
280430 MURIBECA;13,77;;
280440 NEOPOLIS;21,43;;
280445 NOSSA SENHORA APARECIDA;3,1;;
280450 NOSSA SENHORA DA GLORIA;16,16;;
280460 NOSSA SENHORA DAS DORES;11,78;;
280470 NOSSA SENHORA DE LOURDES;2,44;;
280480 NOSSA SENHORA DO SOCORRO;23,19;;
280490 PACATUBA;17,53;;
280500 PEDRA MOLE;1,72;;
280510 PEDRINHAS;6,64;;
280520 PINHAO;6,62;;
280530 PIRAMBU;9,99;;
280540 POCO REDONDO;11,22;;
280550 POCO VERDE;7,91;;
280560 PORTO DA FOLHA;15,62;;
280570 PROPRIA;18,31;;
280580 RIACHAO DO DANTAS;7,56;;
280590 RIACHUELO;26,69;;
280600 RIBEIROPOLIS;8,88;;
280610 ROSARIO DO CATETE;22,2;;
280620 SALGADO;10,9;;
280630 SANTA LUZIA DO ITANHY;14,39;;
280640 SANTANA DO SAO FRANCISCO;8,43;;
280650 SANTA ROSA DE LIMA;11,61;;
280660 SANTO AMARO DAS BROTAS;20,56;;
280670 SAO CRISTOVAO;24,23;;
280680 SAO DOMINGOS;6,35;;
280690 SAO FRANCISCO;5,39;;
280700 SAO MIGUEL DO ALEIXO;1,66;;
280710 SIMAO DIAS;11,41;;
280720 SIRIRI;9,88;;
280730 TELHA;16,17;;
280740 TOBIAS BARRETO;11,03;;
280750 TOMAR DO GERU;2,21;;
280760 UMBAUBA;9,88;;
290010 ABAIRA;7;;
290020 ABARE;16,87;;
290030 ACAJUTIBA;10,55;;
290035 ADUSTINA;3,19;;
290040 AGUA FRIA;8,09;;
290050 ERICO CARDOSO;3,05;;
290060 AIQUARA;14,02;;
290070 ALAGOINHAS;24,38;;
290080 ALCOBACA;13,42;;
290090 ALMADINA;22,71;;
290100 AMARGOSA;11,83;;
290110 AMELIA RODRIGUES;29,66;;
290115 AMERICA DOURADA;15,9;;
290120 ANAGE;17,97;;
290130 ANDARAI;17,29;;
290135 ANDORINHA;17,27;;
290140 ANGICAL;19,05;;
290150 ANGUERA;9,85;;
290160 ANTAS;15,78;;
290170 ANTONIO CARDOSO;7,59;;
290180 ANTONIO GONCALVES;9,3;;
290190 APORA;5,2;;
290195 APUAREMA;12,83;;
290200 ARACATU;2,99;;
290205 ARACAS;24,57;;
290210 ARACI;13,5;;
290220 ARAMARI;13,17;;
290225 ARATACA;10,69;;
290230 ARATUIPE;9,78;;
290240 AURELINO LEAL;19,38;;
290250 BAIANOPOLIS;22,92;;
290260 BAIXA GRANDE;10,95;;
290265 BANZAE;4,63;;
290270 BARRA;11,13;;
290280 BARRA DA ESTIVA;4,92;;
290290 BARRA DO CHOCA;7,91;;
290300 BARRA DO MENDES;7,6;;
290310 BARRA DO ROCHA;14,01;;
290320 BARREIRAS;12,68;;
290323 BARRO ALTO;3,6;;
290330 BARRO PRETO;16,72;;
290340 BELMONTE;19,26;;
290350 BELO CAMPO;11,15;;
290360 BIRITINGA;1,71;;
290370 BOA NOVA;34,8;;
290380 BOA VISTA DO TUPIM;15,24;;
290390 BOM JESUS DA LAPA;16,17;;
290395 BOM JESUS DA SERRA;10,93;;
290400 BONINAL;8,52;;
290405 BONITO;5,41;;
290410 BOQUIRA;14,43;;
290420 BOTUPORA;9,49;;
290430 BREJOES;5,7;;
290440 BREJOLANDIA;15,55;;
290450 BROTAS DE MACAUBAS;19,13;;
290460 BRUMADO;17,56;;
290470 BUERAREMA;25,72;;
290475 BURITIRAMA;8,11;;
290480 CAATIBA;22,95;;
290485 CABACEIRAS DO PARAGUACU;3,56;;
290490 CACHOEIRA;19,32;;
290500 CACULE;12,89;;
290510 CAEM;12,83;;
290515 CAETANOS;34,87;;
290520 CAETITE;10,53;;
290530 CAFARNAUM;8,2;;
290540 CAIRU;15,5;;
290550 CALDEIRAO GRANDE;15,15;;
290560 CAMACAN;23,87;;
290570 CAMACARI;25,71;;
290580 CAMAMU;10,71;;
290590 CAMPO ALEGRE DE LOURDES;8,17;;
290600 CAMPO FORMOSO;11,38;;
290610 CANAPOLIS;7,63;;
290620 CANARANA;7,91;;
290630 CANAVIEIRAS;20,89;;
290640 CANDEAL;13,86;;
290650 CANDEIAS;28,59;;
290660 CANDIBA;21,23;;
290670 CANDIDO SALES;18,02;;
290680 CANSANCAO;20,39;;
290682 CANUDOS;18,98;;
290685 CAPELA DO ALTO ALEGRE;9,75;;
290687 CAPIM GROSSO;14,18;;
290689 CARAIBAS;15,49;;
290690 CARAVELAS;16,48;;
290700 CARDEAL DA SILVA;12,38;;
290710 CARINHANHA;13,06;;
290720 CASA NOVA;9,16;;
290730 CASTRO ALVES;22,54;;
290740 CATOLANDIA;10,62;;
290750 CATU;27,04;;
290755 CATURAMA;9,07;;
290760 CENTRAL;15,95;;
290770 CHORROCHO;15,93;;
290780 CICERO DANTAS;11,14;;
290790 CIPO;11,58;;
290800 COARACI;31,92;;
290810 COCOS;7,19;;
290820 CONCEICAO DA FEIRA;22,95;;
290830 CONCEICAO DO ALMEIDA;17,52;;
290840 CONCEICAO DO COITE;11,63;;
290850 CONCEICAO DO JACUIPE;19,92;;
290860 CONDE;10,87;;
290870 CONDEUBA;8,17;;
290880 CONTENDAS DO SINCORA;9,66;;
290890 CORACAO DE MARIA;9,21;;
290900 CORDEIROS;7,06;;
290910 CORIBE;13,4;;
290920 CORONEL JOAO SA;17,27;;
290930 CORRENTINA;6,9;;
290940 COTEGIPE;5,95;;
290950 CRAVOLANDIA;8,81;;
290960 CRISOPOLIS;4,57;;
290970 CRISTOPOLIS;10,25;;
290980 CRUZ DAS ALMAS;18,86;;
290990 CURACA;10,14;;
291000 DARIO MEIRA;19,55;;
291005 DIAS D'AVILA;30,37;;
291010 DOM BASILIO;4,22;;
291020 DOM MACEDO COSTA;8,94;;
291030 ELISIO MEDRADO;3,84;;
291040 ENCRUZILHADA;11,65;;
291050 ENTRE RIOS;13,9;;
291060 ESPLANADA;20,76;;
291070 EUCLIDES DA CUNHA;13,16;;
291072 EUNAPOLIS;17,94;;
291075 FATIMA;7,57;;
291077 FEIRA DA MATA;22,12;;
291080 FEIRA DE SANTANA;17,9;;
291085 FILADELFIA;16,92;;
291090 FIRMINO ALVES;17,63;;
291100 FLORESTA AZUL;19,55;;
291110 FORMOSA DO RIO PRETO;20,28;;
291120 GANDU;19,47;;
291125 GAVIAO;10,27;;
291130 GENTIO DO OURO;9,06;;
291140 GLORIA;13,94;;
291150 GONGOGI;28,34;;
291160 GOVERNADOR MANGABEIRA;11,07;;
291165 GUAJERU;8,26;;
291170 GUANAMBI;14,82;;
291180 GUARATINGA;8,54;;
291185 HELIOPOLIS;4,22;;
291190 IACU;16,43;;
291200 IBIASSUCE;5,26;;
291210 IBICARAI;22,78;;
291220 IBICOARA;5,03;;
291230 IBICUI;12,01;;
291240 IBIPEBA;6,37;;
291250 IBIPITANGA;13,1;;
291260 IBIQUERA;15,3;;
291270 IBIRAPITANGA;24,39;;
291280 IBIRAPUA;17,58;;
291290 IBIRATAIA;23,78;;
291300 IBITIARA;7,68;;
291310 IBITITA;6,93;;
291320 IBOTIRAMA;17,82;;
291330 ICHU;11,94;;
291340 IGAPORA;13,01;;
291345 IGRAPIUNA;16,72;;
291350 IGUAI;14,47;;
291360 ILHEUS;21,65;;
291370 INHAMBUPE;11,49;;
291380 IPECAETA;9,02;;
291390 IPIAU;20,9;;
291400 IPIRA;13;;
291410 IPUPIARA;25,95;;
291420 IRAJUBA;6,3;;
291430 IRAMAIA;9,18;;
291440 IRAQUARA;8,21;;
291450 IRARA;6,64;;
291460 IRECE;15,57;;
291465 ITABELA;14,31;;
291470 ITABERABA;20,62;;
291480 ITABUNA;23,96;;
291490 ITACARE;8,71;;
291500 ITAETE;21,8;;
291510 ITAGI;18,23;;
291520 ITAGIBA;18;;
291530 ITAGIMIRIM;18,45;;
291535 ITAGUACU DA BAHIA;9,65;;
291540 ITAJU DO COLONIA;15,75;;
291550 ITAJUIPE;26,57;;
291560 ITAMARAJU;11,74;;
291570 ITAMARI;8,92;;
291580 ITAMBE;18,5;;
291590 ITANAGRA;16,1;;
291600 ITANHEM;11,8;;
291610 ITAPARICA;27,22;;
291620 ITAPE;29,35;;
291630 ITAPEBI;18,01;;
291640 ITAPETINGA;18,06;;
291650 ITAPICURU;7,37;;
291660 ITAPITANGA;24,39;;
291670 ITAQUARA;9,3;;
291680 ITARANTIM;15,53;;
291685 ITATIM;12,76;;
291690 ITIRUCU;19,07;;
291700 ITIUBA;12,71;;
291710 ITORORO;17,58;;
291720 ITUACU;8,99;;
291730 ITUBERA;11,64;;
291733 IUIU;13,88;;
291735 JABORANDI;8,6;;
291740 JACARACI;6,39;;
291750 JACOBINA;15,65;;
291760 JAGUAQUARA;12,49;;
291770 JAGUARARI;13,85;;
291780 JAGUARIPE;10,62;;
291790 JANDAIRA;13,62;;
291800 JEQUIE;22,57;;
291810 JEREMOABO;10,18;;
291820 JIQUIRICA;8,11;;
291830 JITAUNA;23,67;;
291835 JOAO DOURADO;18,48;;
291840 JUAZEIRO;17,47;;
291845 JUCURUCU;7,7;;
291850 JUSSARA;14,39;;
291855 JUSSARI;18,69;;
291860 JUSSIAPE;11,15;;
291870 LAFAIETE COUTINHO;12,18;;
291875 LAGOA REAL;12,17;;
291880 LAJE;4,77;;
291890 LAJEDAO;20,55;;
291900 LAJEDINHO;4,82;;
291905 LAJEDO DO TABOCAL;9,87;;
291910 LAMARAO;3,11;;
291915 LAPAO;13,67;;
291920 LAURO DE FREITAS;22,7;;
291930 LENCOIS;15,46;;
291940 LICINIO DE ALMEIDA;11,25;;
291950 LIVRAMENTO DE NOSSA SENHORA;10,67;;
291960 MACAJUBA;12,21;;
291970 MACARANI;18,17;;
291980 MACAUBAS;16,56;;
291990 MACURURE;7,92;;
291992 MADRE DE DEUS;31,95;;
291995 MAETINGA;6,47;;
292000 MAIQUINIQUE;7,95;;
292010 MAIRI;12,94;;
292020 MALHADA;11,14;;
292030 MALHADA DE PEDRAS;5,3;;
292040 MANOEL VITORINO;14,25;;
292045 MANSIDAO;18,09;;
292050 MARACAS;18,59;;
292060 MARAGOGIPE;16,58;;
292070 MARAU;12,27;;
292080 MARCIONILIO SOUZA;13,2;;
292090 MASCOTE;26,13;;
292100 MATA DE SAO JOAO;24;;
292105 MATINA;3,18;;
292110 MEDEIROS NETO;17,02;;
292120 MIGUEL CALMON;8,54;;
292130 MILAGRES;17,02;;
292140 MIRANGABA;9,85;;
292145 MIRANTE;20,01;;
292150 MONTE SANTO;10,29;;
292160 MORPARA;14,82;;
292170 MORRO DO CHAPEU;11,12;;
292180 MORTUGABA;16,9;;
292190 MUCUGE;9,8;;
292200 MUCURI;9,41;;
292205 MULUNGU DO MORRO;12,16;;
292210 MUNDO NOVO;13,92;;
292220 MUNIZ FERREIRA;23,48;;
292225 MUQUEM DE SAO FRANCISCO;6,07;;
